Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
27‑Dec‑2024,United Cup,Hard,RR,4,29,Felix Auger Aliassime [CAN] d. Fritz,4-6 7-5 6-3,0.82,14.10%,1.10%,63.00%,72.40%,47.10%,1/4,2:19:00,
27‑Dec‑2024,United Cup,Hard,RR,4,90,Fritz d. Borna Coric [CRO],6-3 6-2,1.46,8.90%,1.80%,50.00%,78.60%,60.70%,2/2,1:31:00,
3‑Feb‑2025,Dallas,Hard,R16,4,54,Denis Shapovalov [CAN] d. (1)Fritz,2-6 6-3 7-6(2),1.09,11.00%,3.70%,70.70%,77.60%,50.00%,1/2,2:03:00,
3‑Feb‑2025,Dallas,Hard,R32,4,60,(1)Fritz d. Arthur Rinderknech [FRA],6-4 6-2,2.65,25.60%,0.00%,67.40%,93.10%,64.30%,0/0,1:06:00,
10‑Feb‑2025,Delray Beach,Hard,QF,4,60,(8)Alejandro Davidovich Fokina [ESP] d. (1)Fritz,7-6(4) 7-6(5),1.02,16.90%,3.90%,63.60%,69.40%,50.00%,0/3,2:25:00,
10‑Feb‑2025,Delray Beach,Hard,R16,4,69,(1)Fritz d. Bu Yunchaokete [CHN],7-6(4) 6-2,1.84,29.50%,1.60%,65.60%,85.00%,71.40%,1/1,1:37:00,
5‑Mar‑2025,Indian Wells Masters,Hard,R16,4,14,(13)Jack Draper [GBR] d. (3)Fritz,7-5 6-4,0.79,10.50%,0.00%,70.20%,75.00%,47.10%,1/4,1:18:00,
5‑Mar‑2025,Indian Wells Masters,Hard,R32,4,31,(3)Fritz d. (30)Alejandro Tabilo [CHI],4-6 6-3 6-1,1.36,15.00%,3.80%,61.30%,79.60%,45.20%,5/7,1:54:00,
5‑Mar‑2025,Indian Wells Masters,Hard,R64,4,217,(3)Fritz d. (Q)Matteo Gigante [ITA],6-3 7-5,1.34,7.80%,1.60%,60.90%,89.70%,40.00%,5/6,1:28:00,
19‑Mar‑2025,Miami Masters,Hard,SF,4,54,Jakub Mensik [CZE] d. (3)Fritz,7-6(4) 4-6 7-6(4),0.84,12.30%,2.60%,69.30%,79.70%,45.70%,2/2,2:25:00,
19‑Mar‑2025,Miami Masters,Hard,QF,4,30,(3)Fritz d. (29)Matteo Berrettini [ITA],7-5 6-7(7) 7-5,1.36,15.70%,2.90%,76.50%,79.50%,62.50%,4/5,2:44:00,
19‑Mar‑2025,Miami Masters,Hard,R16,4,89,(3)Fritz d. (LL)Adam Walton [AUS],6-3 7-5,1.01,7.00%,0.00%,77.20%,54.50%,69.20%,3/3,1:34:00,
19‑Mar‑2025,Miami Masters,Hard,R32,4,28,(3)Fritz d. (27)Denis Shapovalov [CAN],7-5 6-3,1.59,15.30%,1.70%,64.40%,84.20%,57.10%,3/4,1:26:00,
19‑Mar‑2025,Miami Masters,Hard,R64,4,38,(3)Fritz d. Lorenzo Sonego [ITA],7-6(2) 6-3,1.73,14.50%,0.00%,62.90%,82.10%,69.60%,0/0,1:48:00,
21‑Jul‑2025,Washington,Hard,QF,4,26,(12)Alejandro Davidovich Fokina [ESP] d. (1)Fritz,7-6(3) 3-6 7-5,0.99,16.70%,5.00%,59.20%,74.60%,34.70%,10/15,3:04:00,
21‑Jul‑2025,Washington,Hard,R16,4,44,(1)Fritz d. Matteo Arnaldi [ITA],6-3 6-4,1.56,16.40%,3.30%,63.90%,94.90%,31.80%,4/4,1:41:00,
21‑Jul‑2025,Washington,Hard,R32,4,105,(1)Fritz d. Aleksandar Vukic [AUS],6-3 6-2,2.12,22.90%,4.20%,68.80%,87.90%,60.00%,1/1,0:59:00,
27‑Jul‑2025,Canada Masters,Hard,SF,4,7,(4)Ben Shelton [USA] d. (2)Fritz,6-4 6-3,0.6,6.60%,4.90%,62.30%,68.40%,39.10%,7/10,1:18:00,
27‑Jul‑2025,Canada Masters,Hard,QF,4,11,(2)Fritz d. (6)Andrey Rublev [RUS],6-3 7-6(4),1.21,27.40%,4.10%,65.80%,79.20%,64.00%,3/4,1:21:00,
27‑Jul‑2025,Canada Masters,Hard,R16,4,27,(2)Fritz d. (19)Jiri Lehecka [CZE],7-6(4) 6-7(5) 7-6(5),0.98,12.00%,3.80%,59.40%,82.30%,57.40%,9/9,2:56:00,
27‑Jul‑2025,Canada Masters,Hard,R32,4,36,(2)Fritz d. (27)Gabriel Diallo [CAN],6-4 6-2,2.13,10.40%,0.00%,54.20%,88.50%,68.20%,1/1,1:15:00,
27‑Jul‑2025,Canada Masters,Hard,R64,4,89,(2)Fritz d. Roberto Carballes Baena [ESP],7-5 7-6(1),1.31,10.30%,3.80%,59.00%,82.60%,46.90%,4/6,2:31:00,
7‑Aug‑2025,Cincinnati Masters,Hard,R16,4,136,(Q)Terence Atmane [FRA] d. (4)Fritz,3-6 7-5 6-3,0.9,7.60%,2.20%,65.20%,76.70%,43.80%,3/6,1:59:00,
7‑Aug‑2025,Cincinnati Masters,Hard,R32,4,36,(4)Fritz d. (31)Lorenzo Sonego [ITA],7-6(4) 7-5,1.65,19.70%,3.00%,56.10%,86.50%,72.40%,0/0,2:07:00,
7‑Aug‑2025,Cincinnati Masters,Hard,R64,4,105,(4)Fritz d. (Q)Emilio Nava [USA],6-4 6-4,1.54,22.60%,0.00%,60.40%,81.30%,76.20%,2/2,1:08:00,
